CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.50     5.000000000000e+02  0.000000000000e+00  -4.250000000000e+01  bottom_mid    -4.387737056348e-05  -2.047766688024e-01  1.677598350999e-04
 0.55     5.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -8.731103843888e-05  -1.016494388049e-01  3.755574245205e-04
 0.55     5.500000000000e+02  -2.777500000000e+01  6.262500000000e+01  plus          1.031828950830e-03  5.899967450524e-02  7.302211913776e-02
 0.55     5.500000000000e+02  1.043750000000e+01  -4.175000000000e+01  minus         5.389595676111e-04  -2.098544508568e-01  -2.770914414635e-02
 0.55     5.500000000000e+02  0.000000000000e+00  -4.175000000000e+01  bottom_mid    -9.673928779985e-05  -2.096378760818e-01  1.690340758844e-04
 0.60     6.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.256939400966e-04  -1.013712045146e-01  3.587419257139e-04
 0.60     6.000000000000e+02  -2.730000000000e+01  6.150000000000e+01  plus          7.851824953953e-04  5.833981122085e-02  7.252968417901e-02
 0.60     6.000000000000e+02  1.025000000000e+01  -4.100000000000e+01  minus         -5.119262438478e-04  -2.092635217206e-01  -2.766674465878e-02
 0.60     6.000000000000e+02  0.000000000000e+00  -4.100000000000e+01  bottom_mid    -1.463220304271e-04  -2.090699688552e-01  1.574785300770e-04
 0.65     6.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.586321593936e-04  -9.790877215881e-02  3.246649565504e-04
 0.65     6.500000000000e+02  -2.682500000000e+01  6.037500000000e+01  plus          4.821033127438e-04  5.578242425729e-02  6.972733273944e-02
 0.65     6.500000000000e+02  1.006250000000e+01  -4.025000000000e+01  minus         -1.728646824466e-03  -2.019814386530e-01  -2.673192691383e-02
 0.65     6.500000000000e+02  0.000000000000e+00  -4.025000000000e+01  bottom_mid    -1.880575835376e-04  -2.018096441617e-01  1.344408557112e-04
 0.70     7.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.829750358341e-04  -9.071111807179e-02  2.757230280698e-04
 0.70     7.000000000000e+02  -2.635000000000e+01  5.925000000000e+01  plus          1.779101859724e-04  5.116769415136e-02  6.434880569430e-02
 0.70     7.000000000000e+02  9.875000000000e+00  -3.950000000000e+01  minus         -3.082094844060e-03  -1.868525525527e-01  -2.473603797122e-02
 0.70     7.000000000000e+02  0.000000000000e+00  -3.950000000000e+01  bottom_mid    -2.175704341154e-04  -1.866963593352e-01  1.027609322849e-04
 0.75     7.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.956391656940e-04  -7.943451512761e-02  2.159082239617e-04
 0.75     7.500000000000e+02  -2.587500000000e+01  5.812500000000e+01  plus          -6.817933070333e-05  4.450606128017e-02  5.629491952377e-02
 0.75     7.500000000000e+02  9.687500000000e+00  -3.875000000000e+01  minus         -4.467354654271e-03  -1.632238112172e-01  -2.158979414233e-02
 0.75     7.500000000000e+02  0.000000000000e+00  -3.875000000000e+01  bottom_mid    -2.309947320250e-04  -1.630748164590e-01  6.655164474417e-05
 0.80     8.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.937500425027e-04  -6.418619001471e-02  1.507976565066e-04
 0.80     8.000000000000e+02  -2.540000000000e+01  5.700000000000e+01  plus          -2.132252074111e-04  3.604774655363e-02  4.575209227224e-02
 0.80     8.000000000000e+02  9.500000000000e+00  -3.800000000000e+01  minus         -5.678683898530e-03  -1.314442365985e-01  -1.735140128951e-02
 0.80     8.000000000000e+02  0.000000000000e+00  -3.800000000000e+01  bottom_mid    -2.253119614200e-04  -1.312954294482e-01  3.086434170220e-05
 0.85     8.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.748025765644e-04  -4.582692821842e-02  8.749738046731e-05
 0.85     8.500000000000e+02  -2.492500000000e+01  5.587500000000e+01  plus          -2.460727410470e-04  2.633771329919e-02  3.332393679360e-02
 0.85     8.500000000000e+02  9.312500000000e+00  -3.725000000000e+01  minus         -6.386935241205e-03  -9.345345197867e-02  -1.230034246663e-02
 0.85     8.500000000000e+02  0.000000000000e+00  -3.725000000000e+01  bottom_mid    -1.986967255481e-04  -9.330387073148e-02  1.248404728907e-06
 0.90     9.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.368404935195e-04  -2.633262671183e-02  3.454076492920e-05
 0.90     9.000000000000e+02  -2.445000000000e+01  5.475000000000e+01  plus          -1.914360802389e-04  1.624736237821e-02  2.017161984366e-02
 0.90     9.000000000000e+02  9.125000000000e+00  -3.650000000000e+01  minus         -6.121048282655e-03  -5.345029779872e-02  -7.014165675810e-03
 0.90     9.000000000000e+02  0.000000000000e+00  -3.650000000000e+01  bottom_mid    -1.508593252993e-04  -5.331089171624e-02  -1.678381996331e-05
 0.95     9.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -7.865461194597e-05  -9.214794354591e-03  1.741323090132e-06
 0.95     9.500000000000e+02  -2.397500000000e+01  5.362500000000e+01  plus          -9.699225232861e-05  6.974135423671e-03  8.159103984272e-03
 0.95     9.500000000000e+02  8.937500000000e+00  -3.575000000000e+01  minus         -4.254856314790e-03  -1.863269277583e-02  -2.445900327060e-03
 0.95     9.500000000000e+02  0.000000000000e+00  -3.575000000000e+01  bottom_mid    -8.337594687524e-05  -1.853367390502e-02  -1.837370300911e-05
 1.00     1.000000000000e+03  0.000000000000e+00  0.000000000000e+00  center        5.254600144008e-18  -3.947553414474e-16  1.394851968521e-17
 1.00     1.000000000000e+03  -2.350000000000e+01  5.250000000000e+01  plus          -2.439193277853e-17  -1.320750466081e-16  2.159768311606e-16
 1.00     1.000000000000e+03  8.750000000000e+00  -3.500000000000e+01  minus         1.235958353415e-17  -6.930948652486e-16  -7.876501375924e-17
 1.00     1.000000000000e+03  0.000000000000e+00  -3.500000000000e+01  bottom_mid    -1.768287887240e-18  -6.846001679404e-16  2.618142208785e-17
