CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        8.713973653023e-19  8.001570526461e-16  -6.383753986067e-18
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          -1.416742232972e-17  -6.541124286288e-16  -6.790295169021e-16
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         -2.018651778221e-17  1.828296549784e-15  2.707940510524e-16
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    9.897284567914e-19  1.819896969780e-15  -2.626449928542e-18
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        4.381625654312e-05  -5.974536300854e-03  1.104801049024e-06
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          8.002968492089e-04  4.980943935870e-03  5.450537421425e-03
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         4.148922583926e-03  -1.205036151858e-02  -1.431839146802e-03
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    3.784800751912e-05  -1.189271049962e-02  -1.441798531620e-05
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        7.559224186468e-05  -1.782838183719e-02  2.132231335717e-05
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          1.222463798391e-03  1.262134283795e-02  1.423998510654e-02
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         5.824215256761e-03  -3.714181597223e-02  -4.881402326143e-03
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    7.654834537089e-05  -3.699734712946e-02  -2.205700691047e-05
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.526957457151e-05  -3.195258659237e-02  5.782686740129e-05
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          1.379654860914e-03  2.094663548291e-02  2.416389761278e-02
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         6.184477276535e-03  -6.691218817031e-02  -8.998226169029e-03
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    1.072725225930e-04  -6.680313553473e-02  -1.763829534826e-05
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.030346451641e-04  -4.615581580761e-02  1.064985756180e-04
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.375660074487e-03  2.892520803293e-02  3.397826614231e-02
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         5.878986758276e-03  -9.649541784023e-02  -1.302041929615e-02
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    1.253237439187e-04  -9.639382107962e-02  -4.349474045596e-07
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.938464499360e-05  -5.925958246687e-02  1.624137509009e-04
 0.25     2.500000000000e+02  -3.062500000000e+01  6.937500000000e+01  plus          1.310483442607e-03  3.611239675364e-02  4.305079838388e-02
 0.25     2.500000000000e+02  1.156250000000e+01  -4.625000000000e+01  minus         5.264598622936e-03  -1.234470077459e-01  -1.659495909357e-02
 0.25     2.500000000000e+02  0.000000000000e+00  -4.625000000000e+01  bottom_mid    1.286633754820e-04  -1.233220142023e-01  2.725669779864e-05
 0.30     3.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        8.517471617917e-05  -7.075242749001e-02  2.202897830470e-04
 0.30     3.000000000000e+02  -3.015000000000e+01  6.825000000000e+01  plus          1.256999270979e-03  4.238312387360e-02  5.110867506927e-02
 0.30     3.000000000000e+02  1.137500000000e+01  -4.550000000000e+01  minus         4.531469890576e-03  -1.468527918025e-01  -1.962309982039e-02
 0.30     3.000000000000e+02  0.000000000000e+00  -4.550000000000e+01  bottom_mid    1.170413912840e-04  -1.466882265623e-01  6.135169436106e-05
 0.35     3.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        6.164622248510e-05  -8.050304763392e-02  2.748844731527e-04
 0.35     3.500000000000e+02  -2.967500000000e+01  6.712500000000e+01  plus          1.244046476485e-03  4.774054793203e-02  5.805606294122e-02
 0.35     3.500000000000e+02  1.118750000000e+01  -4.475000000000e+01  minus         3.771871089369e-03  -1.666149613601e-01  -2.213518600611e-02
 0.35     3.500000000000e+02  0.000000000000e+00  -4.475000000000e+01  bottom_mid    9.150417527218e-05  -1.664112465927e-01  9.697188113537e-05
 0.40     4.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        3.043614115838e-05  -8.853237110194e-02  3.213498259596e-04
 0.40     4.000000000000e+02  -2.920000000000e+01  6.600000000000e+01  plus          1.257065005711e-03  5.218987557332e-02  6.384545939140e-02
 0.40     4.000000000000e+02  1.100000000000e+01  -4.400000000000e+01  minus         3.016347254173e-03  -1.829081688725e-01  -2.419642059738e-02
 0.40     4.000000000000e+02  0.000000000000e+00  -4.400000000000e+01  bottom_mid    5.411688961614e-05  -1.826773943087e-01  1.292398036930e-04
 0.45     4.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -6.432424273840e-06  -9.484458086133e-02  3.555403001493e-04
 0.45     4.500000000000e+02  -2.872500000000e+01  6.487500000000e+01  plus          1.254023614441e-03  5.566755316887e-02  6.839366459019e-02
 0.45     4.500000000000e+02  1.081250000000e+01  -4.325000000000e+01  minus         2.253680762770e-03  -1.957977011082e-01  -2.584313007023e-02
 0.45     4.500000000000e+02  0.000000000000e+00  -4.325000000000e+01  bottom_mid    7.788007416539e-06  -1.955569480660e-01  1.538965092056e-04
 0.50     5.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -4.657861024651e-05  -9.931708566892e-02  3.742755165879e-04
 0.50     5.000000000000e+02  -2.825000000000e+01  6.375000000000e+01  plus          1.188611253329e-03  5.801666428015e-02  7.153698727610e-02
 0.50     5.000000000000e+02  1.062500000000e+01  -4.250000000000e+01  minus         1.445129814932e-03  -2.050111287457e-01  -2.704766379114e-02
