x_over_L,x,point,y,z,ux,uy,uz
0.55,550.0,center,0.0,0.0,-0.0007173291732683625,-0.13570955748334573,0.0022469115199636176
0.55,550.0,plus,-27.775,62.625,0.0005960311438076058,0.07648125427122777,0.09851859890262159
0.55,550.0,minus,10.4375,-41.75,-0.00016437443760209088,-0.27754090508453666,-0.034476642758014424
0.55,550.0,bottom_mid,0.0,-41.75,-0.0007373086140941501,-0.2771969157218945,0.002016234511797657
0.6,600.0,center,0.0,0.0,-0.0008246871072061859,-0.13464602315145852,0.0021936628083506315
0.6,600.0,plus,-27.3,61.5,0.0003726443954798334,0.07518801788003754,0.09744474273116863
0.6,600.0,minus,10.25,-41.0,-0.0015772959290014925,-0.27495412059283203,-0.034128349880838973
0.6,600.0,bottom_mid,0.0,-41.0,-0.0008872203270878901,-0.27462051519543956,0.0019690159433301707
0.65,650.0,center,0.0,0.0,-0.0009297172268705114,-0.13000351745836095,0.002083278275866263
0.65,650.0,plus,-26.825,60.375,0.00012669355255584913,0.07192583940348239,0.0937982764031997
0.65,650.0,minus,10.0625,-40.25,-0.0030035038021249314,-0.2650781635161182,-0.03287815423985706
0.65,650.0,bottom_mid,0.0,-40.25,-0.0010333009849117472,-0.26476349311454567,0.001870396707612844
0.7,700.0,center,0.0,0.0,-0.001029579101174591,-0.12165888661821782,0.0019164853500248818
0.7,700.0,plus,-26.35,59.25,-0.0001375427292654792,0.06668436373388824,0.08751620058619367
0.7,700.0,minus,9.875,-39.5,-0.004407146603398128,-0.24769830312838365,-0.030702990413310524
0.7,700.0,bottom_mid,0.0,-39.5,-0.0011715225163677714,-0.24741085385089132,0.0017209479278449751
0.75,750.0,center,0.0,0.0,-0.0011213900191825977,-0.10957776587701909,0.0016957012288592297
0.75,750.0,plus,-25.875,58.125,-0.00041538757371679935,0.05950441267110319,0.0786000672755344
0.75,750.0,minus,9.6875,-38.75,-0.00575084844525924,-0.222781840448896,-0.027602167239014208
0.75,750.0,bottom_mid,0.0,-38.75,-0.0012977847104415018,-0.22252942458311728,0.0015227909134004432
0.8,800.0,center,0.0,0.0,-0.00120229084520878,-0.0938249908448951,0.001425174555812178
0.8,800.0,plus,-25.4,57.0,-0.0007018679505325496,0.05048139084811542,0.0671227300174946
0.8,800.0,minus,9.5,-38.0,-0.006996405763349573,-0.19049713584063707,-0.02359934313658258
0.8,800.0,bottom_mid,0.0,-38.0,-0.0014080101873972985,-0.1902868829074256,0.0012797427378811294
0.85,850.0,center,0.0,0.0,-0.0012695155428829325,-0.07457501002135812,0.0011110981844826933
0.85,850.0,plus,-24.925,55.875,-0.0009918157175027756,0.03976832293323046,0.053235466245098347
0.85,850.0,minus,9.3125,-37.25,-0.008104822269920356,-0.15123169625229546,-0.018744183263766295
0.85,850.0,bottom_mid,0.0,-37.25,-0.0014982444230499463,-0.15106981159903468,0.0009974363873270769
