x_over_L,x,max_abs_ux,max_abs_uy,max_abs_uz
0.0,0.0,0.0,0.0,0.0
0.05,50.0,0.00529709111001875,0.015493576303472107,0.00704052807152818
0.1,100.0,0.007028291734412695,0.04520830644947426,0.017140253543647302
0.15,150.0,0.007368409734040079,0.07900854959837234,0.028411593629766346
0.2,200.0,0.007150883282267734,0.1129552683691316,0.03986773470264907
0.25,250.0,0.006654160295747113,0.1452995083610313,0.050893191055855956
0.3,300.0,0.005962625779193287,0.17497259804200083,0.06105571974670787
0.35,350.0,0.00510604068283866,0.20109138657973785,0.07000769467750932
0.4,400.0,0.004102785181172155,0.2228306116011924,0.07744343719250651
0.45,450.0,0.0029723586907000666,0.23941016125386816,0.08308652079786512
0.5,500.0,0.002335238782662367,0.25011331399724224,0.08669007066348206
0.55,550.0,0.0016804685878267548,0.2543115227458028,0.0880421875421573
0.6,600.0,0.0011361780798845647,0.25148947260280236,0.08697320235260214
0.65,650.0,0.0022959628057677203,0.2412687134232403,0.0833634897597689
0.7,700.0,0.003638505009463573,0.22342857202028288,0.0771516382480175
0.75,750.0,0.004920441026236127,0.19792239881213197,0.06834428980954779
0.8,800.0,0.006103673910726257,0.1648907268248561,0.05703388467481338
0.85,850.0,0.007128521000114109,0.12471422351616764,0.04344848590360137
0.9,900.0,0.007780208706531224,0.0784235821279198,0.028117423561255545
0.95,950.0,0.006995122811981314,0.03022695722049838,0.012355053091446556
1.0,1000.0,0.0,0.0,0.0
