node_id,x,y,z,ux,uy,uz
1,0.0,-12.5,-50.0,-0.007150151123325698,0.0,0.0
2,8.333333333333334,-12.46875,-49.875,-0.007137771902477132,-0.005740777283539706,0.0007684442137664493
3,8.333333333333334,-10.390625,-49.875,-0.005767281688904896,-0.005741046146670364,0.0006507925117142184
4,0.0,-10.416666666666666,-50.0,-0.005778286435263746,0.0,0.0
5,0.0,-12.5,-47.22222222222222,-0.0072984260302901924,0.0,0.0
6,8.333333333333334,-12.46875,-47.104166666666664,-0.007285899481483701,-0.005584278138467075,0.0007697784397466553
7,8.333333333333334,-10.390625,-47.104166666666664,-0.005921782617950453,-0.005584338048151123,0.0006513525324864712
8,0.0,-10.416666666666666,-47.22222222222222,-0.005932636466596134,0.0,0.0
9,0.0,-12.5,-44.44444444444444,-0.00731767538021107,0.0,0.0
10,8.333333333333334,-12.46875,-44.333333333333336,-0.007302911049572835,-0.005425221357818099,0.0007726554718692252
11,8.333333333333334,-10.390625,-44.333333333333336,-0.005968758577283938,-0.005425143734788484,0.000653208138721236
12,0.0,-10.416666666666666,-44.44444444444444,-0.005981235302858788,0.0,0.0
13,0.0,-12.5,-41.66666666666667,-0.007260159141248254,0.0,0.0
14,8.333333333333334,-12.46875,-41.5625,-0.007243675481744797,-0.005264304071587763,0.0007756177156664259
15,8.333333333333334,-10.390625,-41.5625,-0.0059433893254218165,-0.005264129080328279,0.000655362812174491
16,0.0,-10.416666666666666,-41.66666666666667,-0.005957270948949832,0.0,0.0
17,0.0,-12.5,-38.888888888888886,-0.007150288807970195,0.0,0.0
18,8.333333333333334,-12.46875,-38.791666666666664,-0.00713270679620116,-0.005102087785953445,0.0007783090006775523
19,8.333333333333334,-10.390625,-38.791666666666664,-0.005868863940248082,-0.005101852198139406,0.0006574457292107637
20,0.0,-10.416666666666666,-38.888888888888886,-0.005883674526890301,0.0,0.0
21,0.0,-12.5,-36.111111111111114,-0.007004098930223134,0.0,0.0
22,8.333333333333334,-12.46875,-36.02083333333333,-0.006985946763549601,-0.004938966803396571,0.0007806510680095156
23,8.333333333333334,-10.390625,-36.02083333333333,-0.005760047509481259,-0.004938700418241841,0.000659337903605661
24,0.0,-10.416666666666666,-36.111111111111114,-0.005775355926956427,0.0,0.0
25,0.0,-12.5,-33.333333333333336,-0.006832417776819299,0.0,0.0
26,8.333333333333334,-12.46875,-33.25,-0.006814100254277736,-0.004775205056354066,0.0007826674310694184
27,8.333333333333334,-10.390625,-33.25,-0.005627155737678005,-0.00477493137477247,0.0006610185858877906
28,0.0,-10.416666666666666,-33.333333333333336,-0.005642617995885917,0.0,0.0
29,0.0,-12.5,-30.555555555555557,-0.0066427753533236465,0.0,0.0
30,8.333333333333334,-12.46875,-30.479166666666664,-0.0066245934106475,-0.0046109758239450006,0.000784410682005787
31,8.333333333333334,-10.390625,-30.479166666666664,-0.0054773014287673874,-0.004610711772839312,0.0006625055449220569
32,0.0,-10.416666666666666,-30.555555555555557,-0.005492656919576171,0.0,0.0
33,0.0,-12.5,-27.77777777777778,-0.006440454890805942,0.0,0.0
34,8.333333333333334,-12.46875,-27.708333333333332,-0.006422629157847862,-0.004446392137129219,0.0007859349029911888
35,8.333333333333334,-10.390625,-27.708333333333332,-0.005315482888729726,-0.004446148968383869,0.000663827813753822
36,0.0,-10.416666666666666,-27.77777777777778,-0.00533053849479361,0.0,0.0
37,0.0,-12.5,-25.0,-0.00622917998811432,0.0,0.0
38,8.333333333333334,-12.46875,-24.9375,-0.006211871447002402,-0.004281528727425993,0.0007872859811856497
39,8.333333333333334,-10.390625,-24.9375,-0.00514522396387222,-0.004281313312250765,0.0006650143998182425
40,0.0,-10.416666666666666,-25.0,-0.005159838072060063,0.0,0.0
41,0.0,-12.5,-22.22222222222222,-0.006011579756041035,0.0,0.0
42,8.333333333333334,-12.46875,-22.166666666666664,-0.005994905852550933,-0.004116436697563113,0.0007884998058137464
43,8.333333333333334,-10.390625,-22.166666666666664,-0.004969012779147824,-0.004116252842037434,0.0006660902985039754
44,0.0,-10.416666666666666,-22.22222222222222,-0.004983081934245658,0.0,0.0
45,0.0,-12.5,-19.444444444444446,-0.0057895121062495015,0.0,0.0
46,8.333333333333334,-12.46875,-19.395833333333332,-0.005773558771832076,-0.0039511527509318595,0.0007896034807935227
47,8.333333333333334,-10.390625,-19.395833333333332,-0.00478860717728132,-0.0039510022830420806,0.0006670757416080886
48,0.0,-10.416666666666666,-19.444444444444446,-0.004802055779521809,0.0,0.0
49,0.0,-12.5,-16.66666666666667,-0.005564290468722517,0.0,0.0
50,8.333333333333334,-12.46875,-16.625,-0.005549120874024868,-0.0037857047101011324,0.0007906173039358701
51,8.333333333333334,-10.390625,-16.625,-0.004605249231330145,-0.003785588277308482,0.000667986684601992
52,0.0,-10.416666666666666,-16.66666666666667,-0.00461802187938689,0.0,0.0
53,0.0,-12.5,-13.888888888888893,-0.005336843339037066,0.0,0.0
54,8.333333333333334,-12.46875,-13.854166666666664,-0.005322504180281752,-0.003620114711413629,0.0007915565942849131
