CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        -5.698226201980e-11  -4.187998629273e-12  2.702474078304e-11
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          -3.170207876069e-11  3.286372134994e-10  -6.435722380312e-11
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         -1.150020850308e-11  -7.296487339223e-11  -5.664808199122e-11
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    -2.942917673458e-11  -1.552872116413e-11  -9.376133116794e-12
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        4.009996428067e-05  -6.736450883068e-03  1.820827776555e-06
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          6.934640012943e-04  5.440343305923e-03  6.177731545487e-03
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         4.807463843308e-03  -1.381593494162e-02  -1.678333769962e-03
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    -8.019789334179e-06  -1.354916599575e-02  -3.200767435541e-05
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        7.512326874348e-05  -2.062974651918e-02  2.129831423758e-05
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          1.028410393800e-03  1.368703140719e-02  1.622796165313e-02
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         6.890627090795e-03  -4.263326101434e-02  -5.709308173690e-03
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    8.910708211823e-05  -4.235739695656e-02  -2.111017387585e-05
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.930485714449e-05  -3.733490142783e-02  5.629883065694e-05
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          1.200127587606e-03  2.281546140294e-02  2.776947497710e-02
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         7.390887823563e-03  -7.699355203479e-02  -1.038635562408e-02
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    1.401015539828e-04  -7.677172644111e-02  -4.756709047760e-07
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.099034586787e-04  -5.420772883350e-02  1.031778846894e-04
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.239047548398e-03  3.163061143825e-02  3.925810566747e-02
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         7.011812489160e-03  -1.114365495656e-01  -1.499153323668e-02
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    1.316681811934e-04  -1.110941981888e-01  4.797717754634e-06
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.064639346851e-04  -6.981953788249e-02  1.573130350607e-04
 0.25     2.500000000000e+02  -3.062500000000e+01  6.937500000000e+01  plus          1.276818981081e-03  3.959691421283e-02  4.988522985009e-02
 0.25     2.500000000000e+02  1.156250000000e+01  -4.625000000000e+01  minus         6.225322055896e-03  -1.429871752982e-01  -1.914354111877e-02
 0.25     2.500000000000e+02  0.000000000000e+00  -4.625000000000e+01  bottom_mid    1.377625350611e-04  -1.425248084592e-01  1.483648727341e-05
 0.30     3.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.017051320370e-05  -8.354258726531e-02  2.135877411433e-04
 0.30     3.000000000000e+02  -3.015000000000e+01  6.825000000000e+01  plus          1.346913961379e-03  4.658648482023e-02  5.931986345324e-02
 0.30     3.000000000000e+02  1.137500000000e+01  -4.550000000000e+01  minus         5.332804217241e-03  -1.704977411614e-01  -2.270323411262e-02
 0.30     3.000000000000e+02  0.000000000000e+00  -4.550000000000e+01  bottom_mid    1.499242011987e-04  -1.700006993123e-01  4.480916540339e-05
 0.35     3.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        6.329084385470e-05  -9.520629525704e-02  2.668261774375e-04
 0.35     3.500000000000e+02  -2.967500000000e+01  6.712500000000e+01  plus          1.385337168013e-03  5.259450330958e-02  6.745798730604e-02
 0.35     3.500000000000e+02  1.118750000000e+01  -4.475000000000e+01  minus         4.471574578087e-03  -1.938404069252e-01  -2.568217934823e-02
 0.35     3.500000000000e+02  0.000000000000e+00  -4.475000000000e+01  bottom_mid    1.308369974189e-04  -1.933380031225e-01  8.781323962082e-05
 0.40     4.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        2.871087860967e-05  -1.048242061721e-01  3.121790046521e-04
 0.40     4.000000000000e+02  -2.920000000000e+01  6.600000000000e+01  plus          1.372349872575e-03  5.760268733286e-02  7.424726394658e-02
 0.40     4.000000000000e+02  1.100000000000e+01  -4.400000000000e+01  minus         3.650559738849e-03  -2.131873728416e-01  -2.813958298200e-02
 0.40     4.000000000000e+02  0.000000000000e+00  -4.400000000000e+01  bottom_mid    7.457224662395e-05  -2.126496260016e-01  1.272875068513e-04
 0.45     4.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.043942438628e-05  -1.123917132336e-01  3.454601079511e-04
 0.45     4.500000000000e+02  -2.872500000000e+01  6.487500000000e+01  plus          1.337822630386e-03  6.153400778104e-02  7.957809299276e-02
 0.45     4.500000000000e+02  1.081250000000e+01  -4.325000000000e+01  minus         2.807895213660e-03  -2.285440615709e-01  -3.010482936576e-02
 0.45     4.500000000000e+02  0.000000000000e+00  -4.325000000000e+01  bottom_mid    3.955425349769e-06  -2.279452381498e-01  1.516951112657e-04
 0.50     5.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -5.106956606937e-05  -1.177545378559e-01  3.634342957639e-04
 0.50     5.000000000000e+02  -2.825000000000e+01  6.375000000000e+01  plus          1.282942443084e-03  6.421428281513e-02  8.324317934257e-02
 0.50     5.000000000000e+02  1.062500000000e+01  -4.250000000000e+01  minus         1.862254015023e-03  -2.395176505219e-01  -3.153585335336e-02
 0.50     5.000000000000e+02  0.000000000000e+00  -4.250000000000e+01  bottom_mid    -5.828391641416e-05  -2.388726815287e-01  1.589275924889e-04
 0.55     5.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -9.032115850971e-05  -1.205479653435e-01  3.640559572204e-04
 0.55     5.500000000000e+02  -2.777500000000e+01  6.262500000000e+01  plus          1.173672790577e-03  6.535995373222e-02  8.494499746658e-02
 0.55     5.500000000000e+02  1.043750000000e+01  -4.175000000000e+01  minus         7.456517006136e-04  -2.452534091721e-01  -3.230912266325e-02
 0.55     5.500000000000e+02  0.000000000000e+00  -4.175000000000e+01  bottom_mid    -1.056300091175e-04  -2.446062630399e-01  1.525902871295e-04
 0.60     6.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.256697427152e-04  -1.202068370048e-01  3.466586882723e-04
 0.60     6.000000000000e+02  -2.730000000000e+01  6.150000000000e+01  plus          9.871932049174e-04  6.463508208880e-02  8.432282321706e-02
 0.60     6.000000000000e+02  1.025000000000e+01  -4.100000000000e+01  minus         -5.783574971113e-04  -2.445022986563e-01  -3.223586290945e-02
 0.60     6.000000000000e+02  0.000000000000e+00  -4.100000000000e+01  bottom_mid    -1.438297871446e-04  -2.438961238555e-01  1.367773868235e-04
 0.65     6.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.549357888848e-04  -1.160462986798e-01  3.120958724594e-04
 0.65     6.500000000000e+02  -2.682500000000e+01  6.037500000000e+01  plus          7.456603462524e-04  6.174469719977e-02  8.099934334416e-02
 0.65     6.500000000000e+02  1.006250000000e+01  -4.025000000000e+01  minus         -2.101831618876e-03  -2.358183119353e-01  -3.110047765760e-02
 0.65     6.500000000000e+02  0.000000000000e+00  -4.025000000000e+01  bottom_mid    -1.790776276911e-04  -2.352781692961e-01  1.135345569481e-04
 0.70     7.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.762048651699e-04  -1.074133056823e-01  2.628322317832e-04
 0.70     7.000000000000e+02  -2.635000000000e+01  5.925000000000e+01  plus          4.954387575075e-04  5.652600380109e-02  7.466650082384e-02
