model_id,model_label,n_elems,n_section_calls,z_node,N_node,T_node,MB_node,MT_node
model_4,Model 4 - uniform 16 (16 elements),16,49,3.832500000000e+01,5.000000000000e+06,8.057999999985e+05,4.141789749995e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,4.380000000000e+01,5.000000000000e+06,8.495999999983e+05,3.688623999996e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,4.927500000000e+01,5.000000000000e+06,8.933999999981e+05,3.211477749997e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,5.475000000000e+01,5.000000000000e+06,9.371999999992e+05,2.710350999998e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,6.022500000000e+01,5.000000000000e+06,9.809999999993e+05,2.185243749998e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,6.570000000000e+01,5.000000000000e+06,1.024799999998e+06,1.636155999999e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,7.117500000000e+01,5.000000000000e+06,1.068599999999e+06,1.063087750000e+07,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,7.665000000000e+01,5.000000000000e+06,1.112400000001e+06,4.660390000000e+06,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,8.212500000000e+01,5.000000000000e+06,1.156200000000e+06,1.549902500003e+06,3.000000000000e+06
model_4,Model 4 - uniform 16 (16 elements),16,49,8.760000000000e+01,5.000000000000e+06,1.199999999999e+06,7.999999999999e+06,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,0.000000000000e+00,5.000000000000e+06,4.991999999960e+05,6.642495999993e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,3.650000000000e+00,5.000000000000e+06,5.283999999960e+05,6.454958999995e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,7.300000000000e+00,5.000000000000e+06,5.575999999959e+05,6.256763999996e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,1.095000000000e+01,5.000000000000e+06,5.867999999960e+05,6.047910999997e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,1.460000000000e+01,5.000000000000e+06,6.159999999962e+05,5.828399999999e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,1.825000000000e+01,5.000000000000e+06,6.451999999963e+05,5.598231000000e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,2.190000000000e+01,5.000000000000e+06,6.743999999967e+05,5.357404000002e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,2.555000000000e+01,5.000000000000e+06,7.035999999974e+05,5.105919000003e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,2.920000000000e+01,5.000000000000e+06,7.327999999982e+05,4.843776000004e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,3.285000000000e+01,5.000000000000e+06,7.619999999990e+05,4.570975000004e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,3.650000000000e+01,5.000000000000e+06,7.912000000004e+05,4.287516000004e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,4.015000000000e+01,5.000000000000e+06,8.204000000002e+05,3.993399000004e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,4.380000000000e+01,5.000000000000e+06,8.496000000005e+05,3.688624000004e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,4.745000000000e+01,5.000000000000e+06,8.788000000033e+05,3.373191000003e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,5.110000000000e+01,5.000000000000e+06,9.080000000054e+05,3.047100000002e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,5.475000000000e+01,5.000000000000e+06,9.372000000026e+05,2.710351000000e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,5.840000000000e+01,5.000000000000e+06,9.663999999988e+05,2.362944000000e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,6.205000000000e+01,5.000000000000e+06,9.956000000005e+05,2.004879000001e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,6.570000000000e+01,5.000000000000e+06,1.024800000003e+06,1.636156000000e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,6.935000000000e+01,5.000000000000e+06,1.054000000002e+06,1.256774999999e+07,3.000000000000e+06
model_5,Model 5 - uniform 24 (24 elements),24,73,7.300000000000e+01,5.000000000000e+06,1.083200000001e+06,8.667359999992e+06,3.000000000000e+06
