CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        -8.245127114190e-11  -1.557543715018e-11  -1.172226646696e-10
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          -1.602424875843e-10  -2.659894539688e-11  5.403383403170e-10
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         5.127084764725e-12  9.037486589748e-11  3.302402340491e-11
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    1.497472562760e-11  1.878959447980e-11  4.556418132057e-11
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        4.395812261038e-05  -6.654468274689e-03  -7.267702699210e-06
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          8.504811196349e-04  5.399916586418e-03  6.096414863510e-03
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         4.615091101486e-03  -1.372558487237e-02  -1.790565960834e-03
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    4.755280025159e-05  -1.335339724208e-02  -1.547312129382e-05
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        7.428955592559e-05  -2.037839179241e-02  3.255739784436e-06
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          1.138308253732e-03  1.364664793131e-02  1.609527732309e-02
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         6.611035946729e-03  -4.223866909104e-02  -5.799452388690e-03
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    6.947693972691e-05  -4.187891658109e-02  -2.193196026241e-06
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.144746968559e-05  -3.687972030804e-02  3.111123595545e-05
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          1.184182434380e-03  2.263119762836e-02  2.743189357001e-02
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         7.211966616916e-03  -7.604965687501e-02  -1.017247448370e-02
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    1.126078356733e-04  -7.589559054982e-02  -4.254291857814e-05
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.607307947590e-05  -5.354604628130e-02  7.341251352955e-05
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.211236715760e-03  3.131537657432e-02  3.870890247441e-02
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         6.932751305744e-03  -1.101274129316e-01  -1.473498315642e-02
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    1.452081683902e-04  -1.098776100527e-01  -4.769292665718e-05
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        8.905754702937e-05  -6.896554136833e-02  1.256368871054e-04
 0.25     2.500000000000e+02  -3.062500000000e+01  6.937500000000e+01  plus          1.227424273464e-03  3.923909046878e-02  4.922349607072e-02
 0.25     2.500000000000e+02  1.156250000000e+01  -4.625000000000e+01  minus         6.213251596570e-03  -1.415214269126e-01  -1.903026708252e-02
 0.25     2.500000000000e+02  0.000000000000e+00  -4.625000000000e+01  bottom_mid    1.468568584980e-04  -1.410116917813e-01  -8.393874859125e-06
 0.30     3.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        7.158646042171e-05  -8.251771186207e-02  1.823332499384e-04
 0.30     3.000000000000e+02  -3.015000000000e+01  6.825000000000e+01  plus          1.292056238911e-03  4.624046560910e-02  5.860571279493e-02
 0.30     3.000000000000e+02  1.137500000000e+01  -4.550000000000e+01  minus         5.360325909200e-03  -1.688659360060e-01  -2.266738535509e-02
 0.30     3.000000000000e+02  0.000000000000e+00  -4.550000000000e+01  bottom_mid    1.227393396479e-04  -1.681955293875e-01  4.173372952793e-05
 0.35     3.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        4.516681099176e-05  -9.403397311090e-02  2.377471559498e-04
 0.35     3.500000000000e+02  -2.967500000000e+01  6.712500000000e+01  plus          1.376751873266e-03  5.225021587222e-02  6.667878171733e-02
 0.35     3.500000000000e+02  1.118750000000e+01  -4.475000000000e+01  minus         4.507422934146e-03  -1.919052469301e-01  -2.556957764962e-02
 0.35     3.500000000000e+02  0.000000000000e+00  -4.475000000000e+01  bottom_mid    8.791484927451e-05  -1.912542935596e-01  7.695968848724e-05
 0.40     4.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.163646447822e-05  -1.035280429079e-01  2.863629943306e-04
 0.40     4.000000000000e+02  -2.920000000000e+01  6.600000000000e+01  plus          1.393148471467e-03  5.722452622938e-02  7.337176494347e-02
 0.40     4.000000000000e+02  1.100000000000e+01  -4.400000000000e+01  minus         3.663117615545e-03  -2.108673363440e-01  -2.787423859951e-02
 0.40     4.000000000000e+02  0.000000000000e+00  -4.400000000000e+01  bottom_mid    5.254844467933e-05  -2.103307804149e-01  9.296755472691e-05
 0.45     4.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -2.684387470708e-05  -1.109961538550e-01  3.233632590991e-04
 0.45     4.500000000000e+02  -2.872500000000e+01  6.487500000000e+01  plus          1.313658457610e-03  6.110366696388e-02  7.861677627601e-02
 0.45     4.500000000000e+02  1.081250000000e+01  -4.325000000000e+01  minus         2.781472499041e-03  -2.258944460923e-01  -2.972305852599e-02
 0.45     4.500000000000e+02  0.000000000000e+00  -4.325000000000e+01  bottom_mid    1.782884080651e-05  -2.254493118792e-01  9.760360570787e-05
 0.50     5.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -6.781619617868e-05  -1.162870846990e-01  3.450049091498e-04
 0.50     5.000000000000e+02  -2.825000000000e+01  6.375000000000e+01  plus          1.191886724379e-03  6.374880041062e-02  8.225459482457e-02
 0.50     5.000000000000e+02  1.062500000000e+01  -4.250000000000e+01  minus         1.807960470241e-03  -2.366871612437e-01  -3.112495400183e-02
 0.50     5.000000000000e+02  0.000000000000e+00  -4.250000000000e+01  bottom_mid    -2.014434399125e-05  -2.362543286836e-01  9.872293051651e-05
 0.55     5.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.085682299617e-04  -1.190420106388e-01  3.489128254728e-04
 0.55     5.500000000000e+02  -2.777500000000e+01  6.262500000000e+01  plus          1.082830260179e-03  6.490252701697e-02  8.399219713581e-02
 0.55     5.500000000000e+02  1.043750000000e+01  -4.175000000000e+01  minus         6.964095656675e-04  -2.423972076051e-01  -3.193550766930e-02
 0.55     5.500000000000e+02  0.000000000000e+00  -4.175000000000e+01  bottom_mid    -6.451614167369e-05  -2.419172586561e-01  9.852798047602e-05
 0.60     6.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.461939912133e-04  -1.187041726111e-01  3.342903582961e-04
 0.60     6.000000000000e+02  -2.730000000000e+01  6.150000000000e+01  plus          9.765918701302e-04  6.422169559466e-02  8.343158142037e-02
 0.60     6.000000000000e+02  1.025000000000e+01  -4.100000000000e+01  minus         -5.860036579091e-04  -2.417297663850e-01  -3.191512424570e-02
 0.60     6.000000000000e+02  0.000000000000e+00  -4.100000000000e+01  bottom_mid    -1.140928656096e-04  -2.412002996469e-01  9.455460187261e-05
 0.65     6.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.776718283963e-04  -1.145983655433e-01  3.020469677040e-04
 0.65     6.500000000000e+02  -2.682500000000e+01  6.037500000000e+01  plus          8.150490170860e-04  6.137811500499e-02  8.015780413880e-02
