idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
11,0,flange:flange,0.4166666666666667,4.394531250000036e-05,0.038125,0.6485,0.049687499999999996,0.64725,0.0384375,0.651,0.02625,0.64725,165409.69114435217,238027.79823810793
12,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0728125,0.64475,0.084375,0.6435,0.073125,0.64725,0.060937500000000006,0.6435,299869.3820350726,161360.33570479602
13,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0615625,0.6485,0.073125,0.64725,0.061875,0.651,0.049687499999999996,0.64725,255864.198938484,188049.34422505088
14,0,flange:flange,0.4166666666666667,4.394531250000038e-05,0.049375,0.64475,0.060937500000000006,0.6435,0.049687499999999996,0.64725,0.0375,0.6435,231011.12616899115,229817.96246021986
15,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.06125,0.646,0.073125,0.64725,0.049687499999999996,0.64725,0.060937500000000006,0.6435,255864.198938484,304377.1807687109
16,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.10906249999999999,0.6535,0.10875,0.651,0.1209375,0.6547499999999999,0.0975,0.6547499999999999,208453.49724080105,23764.297838304192
17,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.12124999999999998,0.65725,0.1209375,0.6547499999999999,0.133125,0.6585,0.1096875,0.6585,188197.2544296598,23743.15847437208
18,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.09781250000000001,0.65725,0.0975,0.6547499999999999,0.1096875,0.6585,0.08625,0.6585,214838.94110454712,63759.194350627564
19,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.109375,0.656,0.1209375,0.6547499999999999,0.1096875,0.6585,0.0975,0.6547499999999999,208453.49724080105,84511.88690780973
20,0,flange:flange,0.4166666666666667,4.394531250000039e-05,0.13343750000000001,0.6609999999999999,0.133125,0.6585,0.1453125,0.66225,0.121875,0.66225,172334.00468201842,24969.14989055445
21,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.145625,0.66475,0.1453125,0.66225,0.1575,0.6659999999999999,0.1340625,0.6659999999999999,159612.05282843206,25964.77744178226
