element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d
6689,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,0,0,22,-0.28500000000000003,-0.105,3.0,0.0008999999999999991,-0.3,-0.27,-0.12,-0.09,510.1214374777628,-192.95268935221247,-3216230.5996281807,-242.2838300491373,-36772.26473383016,44277.489861904956
6690,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,1,0,22,-0.255,-0.105,3.0,0.0009000000000000007,-0.27,-0.24,-0.12,-0.09,2512.589496502769,-80.42439138179179,-3237689.625172828,-640.0846419980129,-13274.459669308428,101577.12765103331
6691,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,2,0,22,-0.22499999999999998,-0.105,3.0,0.0009,-0.24,-0.21,-0.12,-0.09,5716.246003725333,-100.2244507583091,-3260447.2149080876,-819.8763343418639,-5340.09207736856,134075.78761344124
6692,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,3,0,22,-0.195,-0.105,3.0,0.0009,-0.21,-0.18,-0.12,-0.09,9604.097989146947,-49.23073993984144,-3283983.5324957445,-929.5541542197268,-1424.9442820269614,155791.6606752674
6693,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,4,0,22,-0.16499999999999998,-0.105,3.0,0.0009,-0.18,-0.15,-0.12,-0.09,13990.694350372767,-45.24589623324573,-3308083.4190794094,-1088.5339314316711,1057.2432396101456,171769.01337353917
6694,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,5,0,22,-0.135,-0.105,3.0,0.0009,-0.15,-0.12,-0.12,-0.09,18742.435522578307,-245.21552629605867,-3332630.0855655656,-1012.4553716729085,3715.814004477424,183025.31573221524
6695,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,6,0,22,-0.105,-0.105,3.0,0.0009,-0.12,-0.09,-0.12,-0.09,22763.300452772644,-745.502009315067,-3357642.917886026,-121.83320751786232,7550.4414452252295,188034.0022052744
6696,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,7,0,22,-0.075,-0.105,3.0,0.0009,-0.09,-0.06,-0.12,-0.09,24185.0704327228,-1303.424779433175,-3383156.842718304,2087.8050872310996,12900.502487516653,183849.23852426716
6697,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,8,0,22,-0.045,-0.105,3.0,0.0009,-0.06,-0.03,-0.12,-0.09,20635.17933455878,-1350.5466764965095,-3409100.570231494,5212.366949133575,19182.910229040932,167652.05657899877
6698,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,9,0,22,-0.015,-0.105,3.0,0.0009,-0.03,0.0,-0.12,-0.09,11709.499504645588,-526.2189709818922,-3435029.965457775,7612.656356245279,24775.77207263963,138896.92534199636
6699,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,10,0,22,0.015,-0.105,3.0,0.0009,0.0,0.03,-0.12,-0.09,-65.88688865874428,730.6630499860039,-3460126.68130733,7692.969441883266,27598.780131245654,101033.57065606739
6700,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,11,0,22,0.045,-0.105,3.0,0.0009,0.03,0.06,-0.12,-0.09,-10369.33919295785,1626.119455494103,-3483519.952153316,5306.926625167331,26253.874620577943,61470.52979755215
6701,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,12,0,22,0.074,-0.105,3.0,0.0008399999999999999,0.06,0.088,-0.12,-0.09,-16052.37872703583,1600.0855372147635,-3504199.7269351524,1953.295517946283,21504.213476531208,29651.201102393992
6702,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,13,0,22,0.10200000000000001,-0.105,3.0,0.0008400000000000003,0.088,0.116,-0.12,-0.09,-16808.94884933438,924.4079543243861,-3522466.3782219687,-530.321823510031,15596.387724982575,9760.517947628474
6703,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,14,0,22,0.13,-0.105,3.0,0.0008400000000000003,0.116,0.14400000000000002,-0.12,-0.09,-15084.381772804889,185.98289042559918,-3539819.5381224942,-1596.283690194289,10869.67068595222,611.9652590552967
6704,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,15,0,22,0.15800000000000003,-0.105,3.0,0.0008399999999999999,0.14400000000000002,0.17200000000000001,-0.12,-0.09,-12448.285619933507,-297.220807963633,-3556804.352395515,-1552.3645123690367,9151.078695664182,-2127.6933100605384
6705,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,16,0,22,0.186,-0.105,3.0,0.0008399999999999999,0.17200000000000001,0.2,-0.12,-0.09,-10371.728059722693,-4.182417707983404,-3573723.0026145107,-1065.1378336971006,13356.58572729025,-5632.649527749668
6706,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,17,0,22,0.2138888888888889,-0.105,3.0,0.0008333333333333337,0.2,0.2277777777777778,-0.12,-0.09,-8894.248764215969,-319.2361984641175,-2112854.177255825,-799.2184003194174,7320.766018095116,-10886.248147496954
