element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d,sigma_zz_csf,tau_x_csf,tau_y_csf,potential_triangle_hits,sigma_zz_error,tau_x_error,tau_y_error
6699,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,10,0,22,0.015,-0.105,3.0,0.0009,0.0,0.03,-0.12,-0.09,-65.88688865874428,730.6630499860039,-3460126.68130733,7692.969441883266,27598.780131245654,101033.57065606739,-3408512.5212845453,-47204.456507035895,27047.550886512425,6,51614.16002278449,-148238.02716310328,-551.2292447332293
6700,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,11,0,22,0.045,-0.105,3.0,0.0009,0.03,0.06,-0.12,-0.09,-10369.33919295785,1626.119455494103,-3483519.952153316,5306.926625167331,26253.874620577943,61470.52979755215,-3448241.9312797813,-83272.1347722549,23596.59436706733,6,35278.02087353449,-144742.66456980706,-2657.280253510613
6701,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,12,0,22,0.074,-0.105,3.0,0.0008399999999999999,0.06,0.088,-0.12,-0.09,-16052.37872703583,1600.0855372147635,-3504199.7269351524,1953.295517946283,21504.213476531208,29651.201102393992,-3486647.0276085087,-109124.08974066967,17344.875348654732,2,17552.69932664372,-138775.29084306367,-4159.3381278764755
6702,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,13,0,22,0.10200000000000001,-0.105,3.0,0.0008400000000000003,0.088,0.116,-0.12,-0.09,-16808.94884933438,924.4079543243861,-3522466.3782219687,-530.321823510031,15596.387724982575,9760.517947628474,-3523727.8102707285,-120219.41121187869,11636.216686690537,2,-1261.4320487598889,-129979.92915950716,-3960.1710382920373
6703,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,14,0,22,0.13,-0.105,3.0,0.0008400000000000003,0.116,0.14400000000000002,-0.12,-0.09,-15084.381772804889,185.98289042559918,-3539819.5381224942,-1596.283690194289,10869.67068595222,611.9652590552967,-3560808.5929329484,-121942.6420493244,6894.713321915983,6,-20989.054810454138,-122554.6073083797,-3974.957364036237
6704,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,15,0,22,0.15800000000000003,-0.105,3.0,0.0008399999999999999,0.14400000000000002,0.17200000000000001,-0.12,-0.09,-12448.285619933507,-297.220807963633,-3556804.352395515,-1552.3645123690367,9151.078695664182,-2127.6933100605384,-3597889.375595168,-116490.11452106915,4040.810586855902,2,-41085.02319965325,-114362.42121100861,-5110.268108808281
6705,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,16,0,22,0.186,-0.105,3.0,0.0008399999999999999,0.17200000000000001,0.2,-0.12,-0.09,-10371.728059722693,-4.182417707983404,-3573723.0026145107,-1065.1378336971006,13356.58572729025,-5632.649527749668,-3634970.158257388,-107910.19534382224,2688.0803992599244,2,-61247.15564287733,-102277.54581607257,-10668.505328030325
6706,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,17,0,22,0.2138888888888889,-0.105,3.0,0.0008333333333333337,0.2,0.2277777777777778,-0.12,-0.09,-8894.248764215969,-319.2361984641175,-2112854.177255825,-799.2184003194174,7320.766018095116,-10886.248147496954,-2159943.4087980366,-97763.140079674,1169.1087708420432,2,-47089.23154221149,-86876.89193217705,-6151.657247253073
6707,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,18,0,22,0.24166666666666667,-0.105,3.0,0.000833333333333332,0.2277777777777778,0.25555555555555554,-0.12,-0.09,-7819.336978737847,-30.404339250177145,-2122455.2387529975,-642.5295156488817,3383.49049301818,-7328.608189330747,-2181582.520995877,-85801.48480023413,866.1786815384404,2,-59127.28224287974,-78472.87661090339,-2517.31181147974
6708,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,19,0,22,0.26944444444444443,-0.105,3.0,0.0008333333333333337,0.25555555555555554,0.2833333333333333,-0.12,-0.09,-6802.686273456202,-75.85407709452556,-2132221.219816772,-623.5255677253008,2044.642131930838,142.16639464410645,-2203221.6331937183,-76490.98977523236,756.6361441106226,2,-71000.41337694647,-76633.15616987647,-1288.0059878202155
6709,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,20,0,22,0.2972222222222222,-0.105,3.0,0.0008333333333333337,0.2833333333333333,0.3111111111111111,-0.12,-0.09,-5738.5514117204,-76.27586441743188,-2142167.102282825,-598.1878922134638,1602.9803510941565,9132.651232453063,-2224860.745391559,-63817.0238208926,683.7900476980334,2,-82693.64310873393,-72949.67505334567,-919.1903033961231
6710,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,21,0,22,0.325,-0.105,3.0,0.0008333333333333337,0.3111111111111111,0.3388888888888889,-0.12,-0.09,-4609.792047832743,-78.94536557828542,-2152340.494103786,-571.3260369747877,1806.7566894708823,18340.97408223587,-2246499.8575893994,-52567.474076901824,654.1875228482403,6,-94159.36348561337,-70908.4481591377,-1152.5691666226421
6711,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,22,0,22,0.3527777777777778,-0.105,3.0,0.0008333333333333337,0.3388888888888889,0.3666666666666667,-0.12,-0.09,-3416.400052767014,-76.67260870034806,-2162737.6244407627,-541.197750667731,2781.712926682085,26581.789791972067,-2268138.96978724,-41212.75173784699,639.0241218730808,2,-105401.34534647735,-67794.54152981906,-2142.688804809004
6712,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,23,0,22,0.38055555555555554,-0.105,3.0,0.000833333333333332,0.3666666666666667,0.39444444444444443,-0.12,-0.09,-2200.66503001441,-77.67492350254906,-2173317.3261609506,-491.8017365038395,5128.504971194392,32062.154195259016,-2289778.0819850806,-28125.963688349973,629.7967339990039,2,-116460.75582413003,-60188.11788360899,-4498.708237195388
6713,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,24,0,22,0.4083333333333333,-0.105,3.0,0.0008333333333333337,0.39444444444444443,0.4222222222222222,-0.12,-0.09,-1078.27148373198,-95.97069293062668,-2183970.8537096153,-378.257312849164,10217.098780566206,31295.86575987128,-2311417.1941829217,-18240.992628425982,623.7688969913871,2,-127446.34047330637,-49536.85838829726,-9593.32988357482
