CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        5.543848416124e-16  -1.251306704804e-15  7.582286357135e-15
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          -4.744243164971e-14  -5.395658122065e-14  2.707562985566e-14
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         -5.814104715607e-15  -9.612198382685e-15  -8.600733051545e-15
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    -1.819405107068e-15  -1.382975969608e-14  -5.744306127170e-15
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        4.392816268901e-05  -6.443183498971e-03  -1.761885251580e-06
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          6.533956603518e-04  5.219676006287e-03  5.838479224810e-03
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         4.606807716242e-03  -1.307278946134e-02  -1.519021436883e-03
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    3.887346717839e-05  -1.286919485917e-02  -1.757809174025e-05
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        7.573120742186e-05  -1.957113077531e-02  1.662647603443e-05
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          1.193091963103e-03  1.326824379407e-02  1.540868054421e-02
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         6.577320460691e-03  -4.048632537123e-02  -5.295481741196e-03
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    7.836551776977e-05  -4.031119896929e-02  -2.608092807535e-05
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.538914360700e-05  -3.532425345733e-02  5.169729147522e-05
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          1.191800304976e-03  2.208705465898e-02  2.634288837143e-02
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         7.046606904034e-03  -7.320582248097e-02  -9.802528868426e-03
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    1.089963521787e-04  -7.304572231248e-02  -2.210073042973e-05
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.031151100570e-04  -5.122754065387e-02  9.899352230747e-05
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.107454751755e-03  3.059480201704e-02  3.720761048814e-02
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         6.709897312763e-03  -1.058941851517e-01  -1.420632123699e-02
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    1.264907460296e-04  -1.056983202991e-01  -5.656338780808e-06
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.942366849822e-05  -6.593927339084e-02  1.534743387117e-04
 0.25     2.500000000000e+02  -3.062500000000e+01  6.937500000000e+01  plus          1.178278126453e-03  3.831053846605e-02  4.726293065385e-02
 0.25     2.500000000000e+02  1.156250000000e+01  -4.625000000000e+01  minus         5.994366914904e-03  -1.358176559917e-01  -1.813266192999e-02
 0.25     2.500000000000e+02  0.000000000000e+00  -4.625000000000e+01  bottom_mid    1.292925474238e-04  -1.355608059521e-01  2.084897781391e-05
