case,title,N,component,point,rms_error_mm,max_abs_error_mm,x_over_L_at_max_error,local_baseline_rms_mm,baseline_kind,spike_score,fem3d_component_peak_mm,flagged,severity,response
bending_legendre,Bending half-wave - Legendre,8,uy,minus,2.18819922026e-05,3.9761637744e-05,0.85,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uy,minus,2.28801103695e-05,4.3442676184e-05,0.85,5.6573007908e-05,adjacent,0.404435104576,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uy,minus,9.12640236133e-05,0.000206122994334,0.85,3.14586168401e-05,adjacent,2.90108189045,0.0361966649507,True,LOW,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uy,minus,4.00371233108e-05,7.69063672312e-05,0.1,0.00236936264358,adjacent,0.0168978452578,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uy,minus,0.00464746126355,0.00761726897673,0.35,4.00371233108e-05,previous_3,116.078800854,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,uy,bottom_mid,1.55861839266e-09,2.27449795715e-09,0.55,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uy,bottom_mid,1.47061679244e-09,2.18880093048e-09,0.8,3.89790603326e-05,adjacent,3.77283797992e-05,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uy,bottom_mid,7.79565620468e-05,0.000154441206237,0.85,3.21918400496e-05,adjacent,2.42162491882,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uy,bottom_mid,6.43822094824e-05,0.000116905872463,0.85,0.00183772934495,adjacent,0.0350335644687,0.0361966649507,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uy,bottom_mid,0.00359750212786,0.00575005223158,0.65,6.43822094824e-05,previous_3,55.8772703948,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,uz,center,0.0144575001169,0.0204200237185,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uz,center,0.0203473870409,0.0289252433685,0.55,0.0182078377258,adjacent,1.11750705094,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uz,center,0.0219581753346,0.0313718113785,0.55,0.0215755662422,adjacent,1.01773344384,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uz,center,0.0228037454435,0.0325219936685,0.55,0.0226469436278,adjacent,1.00692375176,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uz,center,0.0233357119209,0.0328798801385,0.55,0.0219581753346,previous_3,1.06273456539,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,uz,plus,0.014516884483,0.020471243222,0.5,,none,,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uz,plus,0.020378106583,0.0289403101382,0.55,0.0182400209449,adjacent,1.11721947275,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uz,plus,0.0219631574069,0.0313411628482,0.55,0.0216348892246,adjacent,1.01517309282,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uz,plus,0.0228916718662,0.0326090543582,0.55,0.023539971307,adjacent,0.972459633346,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uz,plus,0.0251167852071,0.036366597022,0.5,0.0219631574069,previous_3,1.14358717837,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,uz,minus,0.0143426013536,0.0202574962463,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uz,minus,0.0202043313214,0.0287251420163,0.55,0.0180779198265,adjacent,1.11762478843,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uz,minus,0.0218132382995,0.0311320401363,0.55,0.0214825963146,adjacent,1.0153911557,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uz,minus,0.0227608613078,0.0325346198863,0.55,0.0219326271126,adjacent,1.03776265337,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uz,minus,0.0220520159257,0.033025657685,0.5,0.0218132382995,previous_3,1.01094645476,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,uz,bottom_mid,0.0143458053479,0.0202603108583,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,uz,bottom_mid,0.0202197521629,0.0287469572983,0.55,0.0180937622159,adjacent,1.11749850151,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,uz,bottom_mid,0.0218417190838,0.0312071906183,0.55,0.0214610766662,adjacent,1.01773640826,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,uz,bottom_mid,0.0227024011695,0.0323194903683,0.55,0.0226172582238,adjacent,1.00376451225,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,uz,bottom_mid,0.0233927973639,0.0333107387783,0.55,0.0218417190838,previous_3,1.07101447803,11.0977590903,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,ux,center,0.00361299929073,0.006681812307,1,,none,,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,ux,center,0.00285223568632,0.005351189439,1,0.0034378060777,adjacent,0.829667416328,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,ux,center,0.00326261286467,0.00574171275659,0.95,0.00305021883714,adjacent,1.06963238996,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,ux,center,0.00324820198795,0.00595032159459,0.95,0.00313858715843,adjacent,1.03492489582,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,ux,center,0.0030145614522,0.005715405649,1,0.00324820198795,previous_3,0.928070810675,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,ux,plus,0.00415922536801,0.00672381317586,0,,none,,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,ux,plus,0.00423665152925,0.00700617752986,0,0.00443328159033,adjacent,0.955646836982,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,ux,plus,0.00470733781264,0.00788487284453,0.05,0.00436309296322,adjacent,1.07889926993,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,ux,plus,0.00448953439719,0.00770580886886,0,0.00457780943124,adjacent,0.980716752112,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,ux,plus,0.00444828104984,0.00732934894953,0.05,0.00448953439719,previous_3,0.990811219226,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,ux,minus,0.00460247916919,0.0087805669911,0.95,,none,,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,ux,minus,0.00538348155921,0.0100091421271,0.95,0.00501982315123,adjacent,1.07244446607,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,ux,minus,0.00543716713327,0.0107171678697,1,0.00540528802731,adjacent,1.00589776267,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,ux,minus,0.0054270944954,0.0101671503631,0.95,0.00546403591434,adjacent,0.993239169817,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,ux,minus,0.0054909046954,0.0102519584717,1,0.0054270944954,previous_3,1.01175770941,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,ux,bottom_mid,0.00490693226645,0.00938455956457,0.95,,none,,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,ux,bottom_mid,0.00516959385305,0.00967471858957,0.95,0.00518688924739,adjacent,0.996665555495,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,ux,bottom_mid,0.00546684622834,0.0102158610676,0.95,0.00532398724977,adjacent,1.02683308052,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,ux,bottom_mid,0.00547838064649,0.0102690922406,0.95,0.0054740784241,adjacent,1.00078592633,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,ux,bottom_mid,0.00548131061986,0.0101450393796,0.95,0.00546684622834,previous_3,1.00264583837,2.85296677847,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uy,center,1.59334936129e-09,2.32114012136e-09,0.55,,none,,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uy,center,2.4867485169e-07,4.28557329922e-07,0.75,0.000173612384654,adjacent,0.00143235663853,0.0361966649507,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
