z,id,w,s0_name,s1_name,A_net,A_w
15.0,1,0.0,pol_j_sv_hole_start,pol_j_sv_hole_end,1.1266828234559998,0.0
15.0,0,1.0,pol_j_sv_start,pol_j_sv_end,2.0098654060479992,2.0098654060479992
