z,polygon_idx,polygon_name,weight,weight_ref,weight_norm,tau_x_min,tau_x_max,tau_y_min,tau_y_max,x_tau_x_min,y_tau_x_min,x_tau_x_max,y_tau_x_max,x_tau_y_min,y_tau_y_min,x_tau_y_max,y_tau_y_max,coord_tau_y_max,tau_reference_y_max,b_weighted_y_max,Sx_part_y_max,Sy_part_y_max,tau_x_mean,tau_y_mean,scan_count_x,scan_count_y,grid_x,grid_y,converged_x,converged_y
0.000000000000e+00,0,0_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-2.596633639844e+04,-1.463060874505e+03,3.302461039855e+04,7.249181477301e+04,-5.069479181684e-02,1.224031981021e-01,-2.898634996042e-05,1.212496442661e-01,-2.534930548406e-02,1.224168149484e-01,-4.208477861542e-02,1.016367170794e-01,1.016367170794e-01,6.162319297788e+04,2.603308582510e-01,3.808605973738e-04,1.792871392128e-03,-1.649407370588e+04,4.521729773904e+04,75,110,992,992,True,True
0.000000000000e+00,1,1_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-3.350057904618e+04,-2.296625634169e+04,3.302559168423e+04,1.000611817027e+05,-8.491702196753e-02,9.330867748914e-02,-7.892163297473e-02,9.267639633298e-02,-5.071465180533e-02,1.224045551324e-01,-7.741795976796e-02,8.491702196753e-02,8.491702196753e-02,8.984707538728e+04,2.223020631224e-01,4.089855499371e-04,2.223807055929e-03,-2.777807598653e+04,6.674094696716e+04,147,110,992,992,True,True
0.000000000000e+00,2,2_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-3.350057904618e+04,-1.137972948734e+04,7.062136151397e+04,1.629233672142e+05,-8.491702196753e-02,7.741795976796e-02,-1.224045551324e-01,5.071465180533e-02,-9.281286155821e-02,8.006152001894e-02,-1.016374337770e-01,4.210594053170e-02,4.210594053170e-02,1.448994134232e+05,1.877624256472e-01,4.739578421804e-04,3.018517239601e-03,-2.440253143682e+04,1.147237523509e+05,110,147,992,992,True,True
0.000000000000e+00,3,3_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-2.784765134550e+04,-1.137741259769e+04,1.076632821170e+05,1.917185425096e+05,-1.016367170794e-01,4.208477861542e-02,-1.225028985584e-01,2.524167627027e-02,-1.174742888807e-01,2.985841987505e-02,-1.212496442661e-01,2.898634996033e-05,2.898634996033e-05,1.701502064773e+05,1.800000000000e-01,5.463556792956e-04,3.399642686566e-03,-1.602892848606e+04,1.624193456498e+05,110,75,992,992,True,True
0.000000000000e+00,4,4_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-2.784765134550e+04,-1.137741259769e+04,1.100461307779e+05,1.723716739419e+05,-1.016367170794e-01,-4.208477861542e-02,-1.225028985584e-01,-2.524167627027e-02,-1.174742888807e-01,-2.985841987505e-02,-1.202067225666e-01,-1.576857437845e-02,-1.576857437845e-02,1.723716739419e+05,1.810145472282e-01,5.132704850299e-04,3.457882585478e-03,-1.602892848606e+04,1.600129645977e+05,110,75,992,992,True,True
0.000000000000e+00,5,5_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-3.350057904618e+04,-1.137972948734e+04,8.902886343843e+04,1.664323527672e+05,-8.491702196753e-02,-7.741795976796e-02,-1.224045551324e-01,-5.071465180533e-02,-9.281286155821e-02,-8.006152001894e-02,-1.016374337770e-01,-4.210594053170e-02,-4.210594053170e-02,1.664323527672e+05,1.877624256472e-01,4.479247932142e-04,3.454717176432e-03,-2.440253143682e+04,1.316016821160e+05,110,147,992,992,True,True
0.000000000000e+00,6,6_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-3.350057904618e+04,-2.296625634169e+04,4.943443892110e+04,1.267534394846e+05,-8.491702196753e-02,-9.330867748914e-02,-7.892163297473e-02,-9.267639633298e-02,-5.186997295894e-02,-1.212002236116e-01,-7.741795976796e-02,-8.491702196753e-02,-8.491702196753e-02,1.267534394846e+05,2.223020631224e-01,3.385141599394e-04,3.106697488711e-03,-2.777807598653e+04,9.083823077308e+04,147,110,992,992,True,True
0.000000000000e+00,7,7_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-2.596633639844e+04,-1.463060874505e+03,4.943443892110e+04,9.926448847528e+04,-5.069479181684e-02,-1.224031981021e-01,-2.898634996042e-05,-1.212496442661e-01,-2.510138819130e-02,-1.212002236116e-01,-4.208477861542e-02,-1.016367170794e-01,-1.016367170794e-01,9.926448847528e+04,2.603308582510e-01,2.920297838115e-04,2.846787543773e-03,-1.649407370588e+04,6.579562901653e+04,75,110,992,992,True,True
0.000000000000e+00,8,8_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,-1.433799844161e+03,2.640705521154e+04,4.943443892110e+04,9.926448847528e+04,2.898634996035e-05,-1.212496442661e-01,5.069479181684e-02,-1.224031981021e-01,2.510138819130e-02,-1.212002236116e-01,4.208477861542e-02,-1.016367170794e-01,-1.016367170794e-01,9.926448847528e+04,2.603308582510e-01,2.920297838115e-04,2.846787543773e-03,1.524156824122e+04,6.579562901653e+04,75,110,992,992,True,True
0.000000000000e+00,9,9_1_C,3.500000000000e+10,3.500000000000e+10,1.000000000000e+00,1.102228772465e+04,2.641072456589e+04,4.943443892110e+04,1.267534394846e+05,8.262626586842e-02,-9.309766032502e-02,5.071631775991e-02,-1.100054234113e-01,5.186997295894e-02,-1.212002236116e-01,7.741795976796e-02,-8.491702196753e-02,-8.491702196753e-02,1.267534394846e+05,2.223020631224e-01,3.385141599394e-04,3.106697488711e-03,1.842810306756e+04,9.083823077308e+04,147,110,992,992,True,True
