z,polygon_idx,polygon_name,sigma_min,vertex_index_min,x_min,y_min,sigma_max,vertex_index_max,x_max,y_max,sigma_extreme,vertex_index_extreme,x_extreme,y_extreme
0.000000000000e+00,19,3_2_CH,1.733630025302e+07,17,-1.325000000000e-01,1.622657008870e-17,2.541378887166e+07,0,-1.432013275392e-01,5.931593201659e-02,2.541378887166e+07,0,-1.432013275392e-01,5.931593201659e-02
0.000000000000e+00,20,4_2_CH,9.429841574466e+06,16,-1.432013275392e-01,-5.931593201659e-02,1.751609914423e+07,0,-1.550000000000e-01,1.898202538678e-17,1.751609914423e+07,0,-1.550000000000e-01,1.898202538678e-17
0.000000000000e+00,21,5_2_CH,2.386075575267e+06,16,-1.096015510839e-01,-1.096015510839e-01,1.042385426596e+07,33,-1.224140380577e-01,-5.070555478837e-02,1.042385426596e+07,33,-1.224140380577e-01,-5.070555478837e-02
0.000000000000e+00,22,6_2_CH,-2.542849331891e+06,16,-5.931593201659e-02,-1.432013275392e-01,4.402570427939e+06,33,-9.369164850722e-02,-9.369164850722e-02,4.402570427939e+06,33,-9.369164850722e-02,-9.369164850722e-02
0.000000000000e+00,23,7_2_CH,-4.606549010709e+06,16,-2.847303808018e-17,-1.550000000000e-01,1.891346202069e+05,33,-5.070555478837e-02,-1.224140380577e-01,-4.606549010709e+06,16,-2.847303808018e-17,-1.550000000000e-01
0.000000000000e+00,24,8_2_CH,-4.642169214679e+06,2,7.605489520750e-03,-1.548132957118e-01,-6.212478268240e+05,17,5.070555478837e-02,-1.224140380577e-01,-4.642169214679e+06,2,7.605489520750e-03,-1.548132957118e-01
0.000000000000e+00,25,9_2_CH,-3.490843892569e+06,0,5.931593201659e-02,-1.432013275392e-01,2.905178915302e+06,17,9.369164850722e-02,-9.369164850722e-02,-3.490843892569e+06,0,5.931593201659e-02,-1.432013275392e-01
0.000000000000e+00,26,10_2_CH,6.344100321824e+05,0,1.096015510839e-01,-1.096015510839e-01,8.467417971633e+06,17,1.224140380577e-01,-5.070555478837e-02,8.467417971633e+06,17,1.224140380577e-01,-5.070555478837e-02
0.000000000000e+00,27,11_2_CH,7.141180249022e+06,0,1.432013275392e-01,-5.931593201659e-02,1.521866886767e+07,17,1.325000000000e-01,-3.245314017740e-17,1.521866886767e+07,17,1.325000000000e-01,-3.245314017740e-17
0.000000000000e+00,28,12_2_CH,1.503886997646e+07,0,1.550000000000e-01,-3.796405077357e-17,2.312512754622e+07,16,1.432013275392e-01,5.931593201659e-02,2.312512754622e+07,16,1.432013275392e-01,5.931593201659e-02
0.000000000000e+00,29,13_2_CH,2.213111485472e+07,33,1.224140380577e-01,5.070555478837e-02,3.016889354542e+07,16,1.096015510839e-01,1.096015510839e-01,3.016889354542e+07,16,1.096015510839e-01,1.096015510839e-01
0.000000000000e+00,30,14_2_CH,2.815239869274e+07,33,9.369164850722e-02,9.369164850722e-02,3.509781845258e+07,16,5.931593201659e-02,1.432013275392e-01,3.509781845258e+07,16,5.931593201659e-02,1.432013275392e-01
0.000000000000e+00,31,15_2_CH,3.236583450048e+06,33,5.070555478837e-02,1.224140380577e-01,3.716151813139e+06,16,4.745506346696e-17,1.550000000000e-01,3.716151813139e+06,16,4.745506346696e-17,1.550000000000e-01
0.000000000000e+00,32,0_3_C,3.604581301325e+06,17,-5.931593201659e-02,1.432013275392e-01,4.023386227045e+06,2,-8.709512193117e-03,1.772861934764e-01,4.023386227045e+06,2,-8.709512193117e-03,1.772861934764e-01
0.000000000000e+00,33,1_3_C,3.192055908850e+06,17,-1.096015510839e-01,1.096015510839e-01,3.891540907900e+06,0,-6.792630924480e-02,1.639886170208e-01,3.891540907900e+06,0,-6.792630924480e-02,1.639886170208e-01
0.000000000000e+00,34,2_3_C,2.541378887166e+07,17,-1.432013275392e-01,5.931593201659e-02,3.419132797162e+07,0,-1.255114536606e-01,1.255114536606e-01,3.419132797162e+07,0,-1.255114536606e-01,1.255114536606e-01
0.000000000000e+00,35,3_3_C,1.751609914423e+07,17,-1.550000000000e-01,1.898202538678e-17,2.674002659427e+07,0,-1.639886170208e-01,6.792630924480e-02,2.674002659427e+07,0,-1.639886170208e-01,6.792630924480e-02
0.000000000000e+00,36,4_3_C,8.435828882968e+06,16,-1.639886170208e-01,-6.792630924480e-02,1.769589803544e+07,0,-1.775000000000e-01,2.173748068487e-17,1.769589803544e+07,0,-1.775000000000e-01,2.173748068487e-17
0.000000000000e+00,37,5_3_C,3.695807225945e+05,16,-1.255114536606e-01,-1.255114536606e-01,9.429841574466e+06,33,-1.432013275392e-01,-5.931593201659e-02,9.429841574466e+06,33,-1.432013275392e-01,-5.931593201659e-02
0.000000000000e+00,38,6_3_C,-5.274833283990e+06,16,-6.792630924480e-02,-1.639886170208e-01,2.386075575267e+06,33,-1.096015510839e-01,-1.096015510839e-01,-5.274833283990e+06,16,-6.792630924480e-02,-1.639886170208e-01
0.000000000000e+00,39,7_3_C,-7.638102271022e+06,16,-3.260622102730e-17,-1.775000000000e-01,-2.542849331891e+06,33,-5.931593201659e-02,-1.432013275392e-01,-7.638102271022e+06,16,-3.260622102730e-17,-1.775000000000e-01
0.000000000000e+00,40,8_3_C,-7.678893149763e+06,2,8.709512193117e-03,-1.772861934764e-01,-3.490843892569e+06,17,5.931593201659e-02,-1.432013275392e-01,-7.678893149763e+06,2,8.709512193117e-03,-1.772861934764e-01
0.000000000000e+00,41,9_3_C,-6.360439958314e+06,0,6.792630924480e-02,-1.639886170208e-01,6.344100321824e+05,17,1.096015510839e-01,-1.096015510839e-01,-6.360439958314e+06,0,6.792630924480e-02,-1.639886170208e-01
0.000000000000e+00,42,10_3_C,-1.636358850938e+06,0,1.255114536606e-01,-1.255114536606e-01,7.141180249022e+06,17,1.432013275392e-01,-5.931593201659e-02,7.141180249022e+06,17,1.432013275392e-01,-5.931593201659e-02
0.000000000000e+00,43,11_3_C,5.814942526412e+06,0,1.639886170208e-01,-6.792630924480e-02,1.503886997646e+07,17,1.550000000000e-01,-3.796405077357e-17,1.503886997646e+07,17,1.550000000000e-01,-3.796405077357e-17
0.000000000000e+00,44,12_3_C,1.485907108525e+07,0,1.775000000000e-01,-4.347496136973e-17,2.411914023772e+07,16,1.639886170208e-01,6.792630924480e-02,2.411914023772e+07,16,1.639886170208e-01,6.792630924480e-02
0.000000000000e+00,45,13_3_C,2.312512754622e+07,33,1.432013275392e-01,5.931593201659e-02,3.218538839809e+07,16,1.255114536606e-01,1.255114536606e-01,3.218538839809e+07,16,1.255114536606e-01,1.255114536606e-01
0.000000000000e+00,46,14_3_C,3.016889354542e+07,33,1.096015510839e-01,1.096015510839e-01,3.782980240467e+07,16,6.792630924480e-02,1.639886170208e-01,3.782980240467e+07,16,6.792630924480e-02,1.639886170208e-01
0.000000000000e+00,47,15_3_C,3.509781845258e+06,33,5.931593201659e-02,1.432013275392e-01,4.019307139171e+06,16,5.434370171216e-17,1.775000000000e-01,4.019307139171e+06,16,5.434370171216e-17,1.775000000000e-01
0.000000000000e+00,48,0_4_C,3.891540907900e+06,17,-6.792630924480e-02,1.639886170208e-01,4.327058620553e+06,2,-9.813534865484e-03,1.997590912410e-01,4.327058620553e+06,2,-9.813534865484e-03,1.997590912410e-01
0.000000000000e+00,49,1_4_C,3.419132797162e+06,17,-1.255114536606e-01,1.255114536606e-01,4.178500514474e+06,0,-7.653668647302e-02,1.847759065023e-01,4.178500514474e+06,0,-7.653668647302e-02,1.847759065023e-01
0.000000000000e+00,50,2_4_C,2.674002659427e+07,17,-1.639886170208e-01,6.792630924480e-02,3.646209685474e+07,0,-1.414213562373e-01,1.414213562373e-01,3.646209685474e+07,0,-1.414213562373e-01,1.414213562373e-01
0.000000000000e+00,51,3_4_C,1.769589803544e+07,17,-1.775000000000e-01,2.173748068487e-17,2.806626431688e+07,0,-1.847759065023e-01,7.653668647302e-02,2.806626431688e+07,0,-1.847759065023e-01,7.653668647302e-02
0.000000000000e+00,52,4_4_C,7.441816191470e+06,16,-1.847759065023e-01,-7.653668647302e-02,1.787569692665e+07,0,-2.000000000000e-01,2.449293598295e-17,1.787569692665e+07,0,-2.000000000000e-01,2.449293598295e-17
0.000000000000e+00,53,5_4_C,-1.646914130078e+06,16,-1.414213562373e-01,-1.414213562373e-01,8.435828882968e+06,33,-1.639886170208e-01,-6.792630924480e-02,8.435828882968e+06,33,-1.639886170208e-01,-6.792630924480e-02
0.000000000000e+00,54,6_4_C,-8.006817236088e+06,16,-7.653668647302e-02,-1.847759065023e-01,3.695807225945e+05,33,-1.255114536606e-01,-1.255114536606e-01,-8.006817236088e+06,16,-7.653668647302e-02,-1.847759065023e-01
0.000000000000e+00,55,7_4_C,-1.066965553134e+07,16,-3.673940397442e-17,-2.000000000000e-01,-5.274833283990e+06,33,-6.792630924480e-02,-1.639886170208e-01,-1.066965553134e+07,16,-3.673940397442e-17,-2.000000000000e-01
0.000000000000e+00,56,8_4_C,-1.071561708485e+07,2,9.813534865484e-03,-1.997590912410e-01,-6.360439958314e+06,17,6.792630924480e-02,-1.639886170208e-01,-1.071561708485e+07,2,9.813534865484e-03,-1.997590912410e-01
0.000000000000e+00,57,9_4_C,-9.230036024059e+06,0,7.653668647302e-02,-1.847759065023e-01,-1.636358850938e+06,17,1.255114536606e-01,-1.255114536606e-01,-9.230036024059e+06,0,7.653668647302e-02,-1.847759065023e-01
0.000000000000e+00,58,10_4_C,-3.907127734057e+06,0,1.414213562373e-01,-1.414213562373e-01,5.814942526412e+06,17,1.639886170208e-01,-6.792630924480e-02,5.814942526412e+06,17,1.639886170208e-01,-6.792630924480e-02
0.000000000000e+00,59,11_4_C,4.488704803801e+06,0,1.847759065023e-01,-7.653668647302e-02,1.485907108525e+07,17,1.775000000000e-01,-4.347496136973e-17,1.485907108525e+07,17,1.775000000000e-01,-4.347496136973e-17
0.000000000000e+00,60,12_4_C,1.467927219404e+07,0,2.000000000000e-01,-4.898587196589e-17,2.511315292921e+07,16,1.847759065023e-01,7.653668647302e-02,2.511315292921e+07,16,1.847759065023e-01,7.653668647302e-02
0.000000000000e+00,61,13_4_C,2.411914023772e+07,33,1.639886170208e-01,6.792630924480e-02,3.420188325076e+07,16,1.414213562373e-01,1.414213562373e-01,3.420188325076e+07,16,1.414213562373e-01,1.414213562373e-01
0.000000000000e+00,62,14_4_C,3.218538839809e+07,33,1.255114536606e-01,1.255114536606e-01,4.056178635677e+07,16,7.653668647302e-02,1.847759065023e-01,4.056178635677e+07,16,7.653668647302e-02,1.847759065023e-01
0.000000000000e+00,63,15_4_C,3.782980240467e+06,33,6.792630924480e-02,1.639886170208e-01,4.322462465202e+06,16,6.123233995737e-17,2.000000000000e-01,4.322462465202e+06,16,6.123233995737e-17,2.000000000000e-01
0.000000000000e+00,64,0_2_S,2.091755200261e+07,8,-2.711755476024e-02,1.363291539760e-01,2.171978662609e+07,0,-2.906845798040e-02,1.461370067801e-01,2.171978662609e+07,0,-2.906845798040e-02,1.461370067801e-01
0.000000000000e+00,65,1_2_S,1.942822907597e+07,7,-7.902666194474e-02,1.148276977696e-01,2.023046369945e+07,15,-8.097756516490e-02,1.246355505736e-01,2.023046369945e+07,15,-8.097756516490e-02,1.246355505736e-01
0.000000000000e+00,66,2_2_S,1.640692759641e+08,6,-1.187561725615e-01,7.509818715281e-02,1.720916221989e+08,14,-1.207070757816e-01,8.490603995684e-02,1.720916221989e+08,14,-1.207070757816e-01,8.490603995684e-02
0.000000000000e+00,67,3_2_S,1.231361332601e+08,5,-1.402576287680e-01,2.318907996831e-02,1.311584794949e+08,13,-1.422085319881e-01,3.299693277234e-02,1.311584794949e+08,13,-1.422085319881e-01,3.299693277234e-02
0.000000000000e+00,68,4_2_S,7.771456256466e+07,4,-1.402576287680e-01,-3.299693277234e-02,8.573690879948e+07,12,-1.422085319881e-01,-2.318907996831e-02,8.573690879948e+07,12,-1.422085319881e-01,-2.318907996831e-02
