x_over_L,x,max_abs_ux,max_abs_uy,max_abs_uz
0.0,0.0,0.0,0.0,0.0
0.05,50.0,0.15588941558959268,0.01925618163516359,0.12065373306377593
0.1,100.0,0.27595819584656356,0.014024949580200445,0.311018472745191
0.15,150.0,0.3650455958780037,0.009731519501548531,0.5741944826353303
0.2,200.0,0.42157673592156386,0.0055534761054832306,0.8890380022861286
0.25,250.0,0.4453450537261869,0.0015323805440786544,1.2325084171478
0.3,300.0,0.4371435745102704,0.002211154493391023,1.581088381285474
0.35,350.0,0.39880164087910447,0.005560637710618849,1.9146791964009036
0.4,400.0,0.3332447471468552,0.008403892672187128,2.207893721075274
0.45,450.0,0.2445354189106592,0.010634975214058843,2.4384222207338895
0.5,500.0,0.13791762367090976,0.012156665751869487,2.5883453558112244
0.55,550.0,0.019779007364676665,0.012882821068876399,2.6430246397637704
0.6,600.0,0.10253103982464401,0.012740533488979432,2.593215598557818
0.65,650.0,0.2201966136114307,0.011672059223893892,2.435988479881673
0.7,700.0,0.323672970628448,0.009636467697960963,2.175925366131486
0.75,750.0,0.4024132680191726,0.0066109348112157375,1.8263912571017982
0.8,800.0,0.4450668085567316,0.002591631506462845,1.4108450055368082
0.85,850.0,0.4396199430866361,0.002402823217070928,0.9723514351215585
0.9,900.0,0.3735252828223908,0.008326584015460423,0.5529822884319149
0.95,950.0,0.2341958708094466,0.01596683866064051,0.21297473338898823
1.0,1000.0,0.0,0.0,0.0
