node_id,x,y,z,ux,uy,uz
1,0.0,-12.5,-50.0,-1.4905900737803202,0.0,0.0
2,10.0,-12.4625,-49.85,-1.4854739006483746,0.0004505553268883856,-0.30362696101065545
3,10.0,-9.97,-49.85,-1.4855714002981975,0.00036071562198227775,-0.3036181258588603
4,0.0,-10.0,-50.0,-1.4906871731180977,0.0,0.0
5,0.0,-12.5,-46.666666666666664,-1.3895195703168175,0.0,0.0
6,10.0,-12.4625,-46.52666666666667,-1.384725501860126,0.00043684366859508426,-0.30372742075697323
7,10.0,-9.97,-46.52666666666667,-1.3848220196073708,0.00034956917152839683,-0.30371852356581364
8,0.0,-10.0,-46.666666666666664,-1.389615812184324,0.0,0.0
9,0.0,-12.5,-43.333333333333336,-1.2887407111095779,0.0,0.0
10,10.0,-12.4625,-43.20333333333333,-1.2842764979684698,0.0004217289460416599,-0.30382705545360705
11,10.0,-9.97,-43.20333333333333,-1.2843697286736415,0.0003373471245176024,-0.30381824831424753
12,0.0,-10.0,-43.333333333333336,-1.2888340844229995,0.0,0.0
13,0.0,-12.5,-40.0,-1.188244617784516,0.0,0.0
14,10.0,-12.4625,-39.88,-1.1841123223456749,0.00040537050163013403,-0.3039237504723162
15,10.0,-9.97,-39.88,-1.184201896246152,0.000324218276262286,-0.3039151632138533
16,0.0,-10.0,-40.0,-1.1883346057391975,0.0,0.0
17,0.0,-12.5,-36.666666666666664,-1.0880208966832063,0.0,0.0
18,10.0,-12.4625,-36.55666666666667,-1.0842208377312677,0.00038802857637036594,-0.30401649514225004
19,10.0,-9.97,-36.55666666666667,-1.0843064973619345,0.0003103306088155236,-0.30400822416283996
20,0.0,-10.0,-36.666666666666664,-1.0881071496792525,0.0,0.0
21,0.0,-12.5,-33.33333333333333,-0.9880580435464227,0.0,0.0
22,10.0,-12.4625,-33.233333333333334,-0.9845897763610939,0.0003698966528838865,-0.3041047194369649
23,10.0,-9.97,-33.233333333333334,-0.984671359279649,0.0002958234995802114,-0.3040968317710862
24,0.0,-10.0,-33.33333333333333,-0.9881403300385432,0.0,0.0
25,0.0,-12.5,-30.0,-0.8883438380122326,0.0,0.0
26,10.0,-12.4625,-29.910000000000004,-0.8852065520221414,0.00035112660018611993,-0.3041880765268455
27,10.0,-9.97,-29.910000000000004,-0.8852839358784874,0.0002808103290938978,-0.30418061420357206
28,0.0,-10.0,-30.0,-0.8884219870700809,0.0,0.0
29,0.0,-12.5,-26.666666666666664,-0.7888655261352981,0.0,0.0
30,10.0,-12.4625,-26.58666666666667,-0.7860582345976215,0.0003318360541394642,-0.3042663417417592
31,10.0,-9.97,-26.58666666666667,-0.7861313223970712,0.0002653823429636884,-0.3042593275427354
32,0.0,-10.0,-26.666666666666664,-0.788939406048335,0.0,0.0
33,0.0,-12.5,-23.333333333333332,-0.6896099442997004,0.0,0.0
34,10.0,-12.4625,-23.263333333333335,-0.6871315876089892,0.00031211709142856404,-0.3043393631818882
35,10.0,-9.97,-23.263333333333335,-0.6872002994173979,0.00024961214430840704,-0.30433280501440896
36,0.0,-10.0,-23.333333333333332,-0.6896794500984061,0.0,0.0
37,0.0,-12.5,-20.0,-0.590563605865461,0.0,0.0
38,10.0,-12.4625,-19.94,-0.5884131126957085,0.0002920423095337141,-0.3044070346330978
39,10.0,-9.97,-19.94,-0.5884773813157712,0.00023355751916532606,-0.30440092893391546
40,0.0,-10.0,-20.0,-0.5906286520381409,0.0,0.0
41,0.0,-12.5,-16.666666666666664,-0.4917127648531671,0.0,0.0
42,10.0,-12.4625,-16.616666666666667,-0.4898890908344743,0.00027166954599940914,-0.3044692799002869
43,10.0,-9.97,-16.616666666666667,-0.4899488591156567,0.0002172646858761189,-0.30446361423648155
44,0.0,-10.0,-16.666666666666664,-0.49177328064231546,0.0,0.0
45,0.0,-12.5,-13.333333333333329,-0.3930434639568819,0.0,0.0
46,10.0,-12.4625,-13.293333333333337,-0.39154561744801153,0.000251045426694031,-0.304526043288905
47,10.0,-9.97,-13.293333333333337,-0.39160083645851423,0.00020077094959159065,-0.30452079834500256
48,0.0,-10.0,-13.333333333333329,-0.3930993901466737,0.0,0.0
49,0.0,-12.5,-10.0,-0.29454157161809696,0.0,0.0
50,10.0,-12.4625,-9.970000000000006,-0.2933686316255578,0.00023020802015719972,-0.30457728361590375
51,10.0,-9.97,-9.970000000000006,-0.29341925930780405,0.00018410676270297376,-0.30457243469811557
52,0.0,-10.0,-10.0,-0.2945928582305113,0.0,0.0
53,0.0,-12.5,-6.666666666666664,-0.1961928112929507,0.0,0.0
54,10.0,-12.4625,-6.646666666666668,-0.19534394037437325,0.0002091887873849224,-0.3046229703211737
55,10.0,-9.97,-6.646666666666668,-0.19538994050294303,0.00016729726814747908,-0.30461848848217477
56,0.0,-10.0,-6.666666666666664,-0.19623941586942245,0.0,0.0
57,0.0,-12.5,-3.3333333333333286,-0.09798278505278679,0.0,0.0
58,10.0,-12.4625,-3.3233333333333377,-0.0974572388889156,0.00018801398264882746,-0.3046630808647374
59,10.0,-9.97,-3.3233333333333377,-0.09749858022540746,0.00015036341131709262,-0.30465893373158326
60,0.0,-10.0,-3.3333333333333286,-0.09802467131907243,0.0,0.0
61,0.0,-12.5,0.0,0.00010300698673592414,0.0,0.0
62,10.0,-12.4625,0.0,0.0003058722998218579,0.00016670562495277856,-0.30469759891806786
63,10.0,-9.97,0.0,0.000269216732025686,0.00013332269975256444,-0.30469375129384624
64,0.0,-10.0,0.0,6.587021652730649e-05,0.0,0.0
65,0.0,-12.5,3.3333333333333357,0.09807915030616893,0.0,0.0
66,10.0,-12.4625,3.3233333333333306,0.09795987255061978,0.00014528213461483008,-0.3047265130270728
67,10.0,-9.97,3.3233333333333306,0.09792792614986238,0.0001161896776947821,-0.3047229273362142
68,0.0,-10.0,3.3333333333333357,0.09804679011134658,0.0,0.0
69,0.0,-12.5,6.666666666666671,0.19596030175516688,0.0,0.0
70,10.0,-12.4625,6.646666666666661,0.19551930797771333,0.00012375872298343589,-0.30474981549928076
71,10.0,-9.97,6.646666666666661,0.19549209132017242,9.897618285510383e-05,-0.3047464521655621
72,0.0,-10.0,6.666666666666671,0.19593274212215409,0.0,0.0
73,0.0,-12.5,10.0,0.2937611763711927,0.0,0.0
74,10.0,-12.4625,9.969999999999999,0.292998778971408,0.00010214765404009287,-0.3047675012773833
75,10.0,-9.97,9.969999999999999,0.29297631086203985,8.169148749998848e-05,-0.304764319176738
76,0.0,-10.0,10.0,0.2937384394785607,0.0,0.0
77,0.0,-12.5,13.333333333333336,0.39149653339689355,0.0,0.0
78,10.0,-12.4625,13.29333333333333,0.3904129265584791,8.045859503869712e-05,-0.30477956652272853
79,10.0,-9.97,13.29333333333333,0.39039522587652375,6.434253218435633e-05,-0.3047765237602585
80,0.0,-10.0,13.333333333333336,0.3914786416685414,0.0,0.0
81,0.0,-12.5,16.66666666666667,0.489181157479614,0.0,0.0
82,10.0,-12.4625,16.616666666666667,0.48777641356661594,5.869949434545524e-05,-0.30478600656622107
83,10.0,-9.97,16.616666666666667,0.48776350311907246,4.693469706957993e-05,-0.30478306201518524
