z,A,Cx,Cy,Ix,Iy,Ixy,J,I1,I2,rx,ry,Wx,Wy,K_torsion,Q_na,J_sv,J_sv_wall,J_sv_cell,J_s_vroark,J_s_vroark_fidelity
0.0,1.0,0,0.5,0.08333333333333331,0.08333333333333333,0,0.16666666666666663,0.08333333333333331,0.08333333333333331,0.28867513459481287,0.28867513459481287,0.16666666666666663,0.16666666666666666,0.15000000000000002,0.125,0.16666666666666663,0.0,0,0.14083333333333334,1.0
2.5,1.5,0,0.75,0.28125,0.125,0,0.40625,0.28125,0.125,0.4330127018922193,0.28867513459481287,0.375,0.25,0.31153846153846154,0.28125,0.40625,0.0,0,0.29345679012345677,0.6666666666666666
5.0,2.0,0,1.0,0.6666666666666665,0.16666666666666666,0,0.8333333333333331,0.6666666666666665,0.16666666666666663,0.5773502691896257,0.28867513459481287,0.6666666666666665,0.3333333333333333,0.4800000000000001,0.5,0.8333333333333331,0.0,0,0.45776041666666667,0.49999999999999983
